349.87,2
346.7,2
342.04,2
344.05,2
297.39,1
345.43,2
355.05,1
350.77,2
339.31,2
336.96,2
333.19,1
342.72,2
340.42,2
339.74,2
339.95,2
272.28,1
309.23,1
321.36,1
325.34,1
348.66,2
350.77,2
391.57,1
346.22,2
350.5,2
340.57,2
346.97,2
263.55,1
343.33,2
268.11,1
421.14,1
340.87,1
349.43,2
311.89,1
262.57,1
339.57,2
346.53,2
333.05,2
346.61,2
329.86,1
281.86,1
352.67,2
346.63,2
360.2,2
296.46,1
348.37,2
307.74,1
360.49,2
345.45,2
348.46,2
345.29,2
275.85,1
273.45,1
345.34,2
339.46,2
273.68,1
326.26,1
352.34,2
338.88,2
320.15,1
307.49,1
344.86,2
341.67,2
348.45,2
350.54,2
341.07,2
341.09,2
319.33,1
351.15,2
318.89,1
304.21,1
354.85,2
212.82,1
348.45,2
331.4,1
339.66,2
354.04,2
238.79,1
339.73,2
281.17,1
335.92,1
339.17,2
350.02,2
364.91,1
279.89,1
347.02,2
354.66,2
353.39,1
314.12,1
341.87,2
341.17,2
356.87,2
342.55,2
348.05,1
258.45,1
343.48,2
351.64,2
347.97,2
313.39,1
336.02,1
356.53,2
271.2,1
346.79,2
343.97,1
300.88,1
315.79,1
346.02,2
334.1,1
342.42,2
337.22,2
274.19,1
275.77,1
283.54,1
337.98,2
324.57,1
334.23,2
274.69,1
287.6,1
354.68,1
357.76,2
339.66,2
323.45,1
286.24,1
338.4,2
337.81,2
350.45,2
352.63,2
395.6,1
301.13,1
340.35,2
347,2
283.55,1
342.25,2
341.58,2
266.68,1
252.43,1
284.22,1
276.59,1
337.46,2
304.02,1
344.32,2
303.75,1
317.48,1
345.8,2
304.81,1
352.14,2
289.36,1
277.05,1
442.42,1
342.14,1
257.54,1
322.7,1
268.98,1
336.74,1
343.27,2
350.09,2
348.83,2
250.79,1
298.3,1
227.33,1
313.17,1
349.44,2
345.43,1
369.02,1
345.55,2
336.02,2
268.39,1
358.78,1
375.64,1
337.45,2
327.41,1
296.72,1
339.09,2
346.82,2
349.59,2
335.86,2
304.48,1
255.53,1
296.86,1
350.6,2
345.57,2
344.95,2
348.64,2
319.63,1
353.47,2
335.59,1
344.08,2
350.17,2
316.78,1
275.3,1
328.75,2
344.03,2
362.75,2
283.52,1
348.77,2
341.66,2
346.24,2
288.17,1
266.46,1
291.9,1
248.41,1
344.2,2
340.17,2
353.56,2
346.9,2
311.34,1
321.93,1
303.09,1
325.9,1
338.34,2
322.55,1
338.57,2
306.35,1
356.61,2
344.13,2
337.91,1
349.06,2
345.74,2
337.12,2
346.71,2
261.4,1
347.21,2
334.57,1
272.11,1
344.33,2
350.63,1
349.87,2
290.09,1
308.56,1
334.29,2
302.11,1
330.97,2
267.13,1
347.15,2
306.24,1
248.41,1
381.1,1
303.96,1
297.75,1
334.67,1
344.55,2
347.09,2
346.21,2
366.78,1
339.24,1
329.79,1
308.6,1
295.83,1
342.31,2
307.16,1
348.74,2
345.48,2
300.46,1
338.47,1
329.2,2
337.26,2
284.38,1
364.15,1
295.58,1
353.56,2
251.26,1
244.87,1
344.41,2
253.96,1
328.17,1
284.12,1
350.12,2
283.06,1
342.39,1
350.87,2
353.87,2
342.55,2
240.91,1
339.28,2
357.62,2
343.69,2
322.09,1
357.25,1
352.49,2
275.04,1
292.21,1
348.48,2
347.15,2
259.02,1
288,1
320.53,1
318.53,1
356.53,2
289.5,1
344.29,2
289.1,1
399.65,1
361.14,2
401.02,1
350.89,2
351.81,2
351.92,2
311.36,1
378.34,1
349.54,2
346.3,2
